DateKey,Date,FiscalYear,FiscalQuarter,Month,FullDate,MonthKey
20171023,23/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 23",201710
20171024,24/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 24",201710
20171025,25/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 25",201710
20171026,26/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 26",201710
20171027,27/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 27",201710
20171028,28/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 28",201710
20171029,29/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 29",201710
20171030,30/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 30",201710
20171031,31/10/2017,FY2018,FY2018 Q2,2017 Oct,"2017 Oct, 31",201710
20171101,01/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 01",201711
20171102,02/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 02",201711
20171103,03/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 03",201711
20171104,04/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 04",201711
20171105,05/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 05",201711
20171106,06/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 06",201711
20171107,07/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 07",201711
20171108,08/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 08",201711
20171109,09/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 09",201711
20171110,10/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 10",201711
20171111,11/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 11",201711
20171112,12/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 12",201711
20171113,13/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 13",201711
20171114,14/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 14",201711
20171115,15/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 15",201711
20171116,16/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 16",201711
20171117,17/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 17",201711
20171118,18/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 18",201711
20171119,19/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 19",201711
20171120,20/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 20",201711
20171121,21/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 21",201711
20171122,22/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 22",201711
20171123,23/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 23",201711
20171124,24/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 24",201711
20171125,25/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 25",201711
20171126,26/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 26",201711
20171127,27/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 27",201711
20171128,28/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 28",201711
20171129,29/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 29",201711
20171130,30/11/2017,FY2018,FY2018 Q2,2017 Nov,"2017 Nov, 30",201711
20171201,01/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 01",201712
20171202,02/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 02",201712
20171203,03/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 03",201712
20171204,04/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 04",201712
20171205,05/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 05",201712
20171206,06/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 06",201712
20171207,07/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 07",201712
20171208,08/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 08",201712
20171209,09/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 09",201712
20171210,10/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 10",201712
20171211,11/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 11",201712
20171212,12/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 12",201712
20171213,13/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 13",201712
20171214,14/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 14",201712
20171215,15/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 15",201712
20171216,16/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 16",201712
20171217,17/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 17",201712
20171218,18/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 18",201712
20171219,19/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 19",201712
20171220,20/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 20",201712
20171221,21/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 21",201712
20171222,22/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 22",201712
20171223,23/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 23",201712
20171224,24/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 24",201712
20171225,25/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 25",201712
20171226,26/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 26",201712
20171227,27/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 27",201712
20171228,28/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 28",201712
20171229,29/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 29",201712
20171230,30/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 30",201712
20171231,31/12/2017,FY2018,FY2018 Q2,2017 Dec,"2017 Dec, 31",201712
20180101,01/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 01",201801
20180102,02/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 02",201801
20180103,03/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 03",201801
20180104,04/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 04",201801
20180105,05/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 05",201801
20180106,06/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 06",201801
20180107,07/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 07",201801
20180108,08/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 08",201801
20180109,09/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 09",201801
20180110,10/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 10",201801
20180111,11/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 11",201801
20180112,12/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 12",201801
20180113,13/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 13",201801
20180114,14/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 14",201801
20180115,15/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 15",201801
20180116,16/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 16",201801
20180117,17/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 17",201801
20180118,18/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 18",201801
20180119,19/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 19",201801
20180120,20/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 20",201801
20180121,21/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 21",201801
20180122,22/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 22",201801
20180123,23/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 23",201801
20180124,24/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 24",201801
20180125,25/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 25",201801
20180126,26/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 26",201801
20180127,27/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 27",201801
20180128,28/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 28",201801
20180129,29/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 29",201801
20180130,30/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 30",201801
20180131,31/01/2018,FY2018,FY2018 Q3,2018 Jan,"2018 Jan, 31",201801
20180201,01/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 01",201802
20180202,02/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 02",201802
20180203,03/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 03",201802
20180204,04/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 04",201802
20180205,05/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 05",201802
20180206,06/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 06",201802
20180207,07/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 07",201802
20180208,08/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 08",201802
20180209,09/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 09",201802
20180210,10/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 10",201802
20180211,11/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 11",201802
20180212,12/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 12",201802
20180213,13/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 13",201802
20180214,14/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 14",201802
20180215,15/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 15",201802
20180216,16/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 16",201802
20180217,17/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 17",201802
20180218,18/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 18",201802
20180219,19/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 19",201802
20180220,20/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 20",201802
20180221,21/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 21",201802
20180222,22/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 22",201802
20180223,23/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 23",201802
20180224,24/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 24",201802
20180225,25/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 25",201802
20180226,26/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 26",201802
20180227,27/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 27",201802
20180228,28/02/2018,FY2018,FY2018 Q3,2018 Feb,"2018 Feb, 28",201802
20180301,01/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 01",201803
20180302,02/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 02",201803
20180303,03/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 03",201803
20180304,04/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 04",201803
20180305,05/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 05",201803
20180306,06/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 06",201803
20180307,07/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 07",201803
20180308,08/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 08",201803
20180309,09/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 09",201803
20180310,10/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 10",201803
20180311,11/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 11",201803
20180312,12/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 12",201803
20180313,13/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 13",201803
20180314,14/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 14",201803
20180315,15/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 15",201803
20180316,16/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 16",201803
20180317,17/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 17",201803
20180318,18/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 18",201803
20180319,19/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 19",201803
20180320,20/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 20",201803
20180321,21/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 21",201803
20180322,22/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 22",201803
20180323,23/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 23",201803
20180324,24/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 24",201803
20180325,25/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 25",201803
20180326,26/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 26",201803
20180327,27/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 27",201803
20180328,28/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 28",201803
20180329,29/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 29",201803
20180330,30/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 30",201803
20180331,31/03/2018,FY2018,FY2018 Q3,2018 Mar,"2018 Mar, 31",201803
20180401,01/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 01",201804
20180402,02/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 02",201804
20180403,03/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 03",201804
20180404,04/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 04",201804
20180405,05/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 05",201804
20180406,06/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 06",201804
20180407,07/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 07",201804
20180408,08/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 08",201804
20180409,09/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 09",201804
20180410,10/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 10",201804
20180411,11/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 11",201804
20180412,12/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 12",201804
20180413,13/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 13",201804
20180414,14/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 14",201804
20180415,15/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 15",201804
20180416,16/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 16",201804
20180417,17/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 17",201804
20180418,18/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 18",201804
20180419,19/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 19",201804
20180420,20/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 20",201804
20180421,21/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 21",201804
20180422,22/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 22",201804
20180423,23/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 23",201804
20180424,24/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 24",201804
20180425,25/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 25",201804
20180426,26/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 26",201804
20180427,27/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 27",201804
20180428,28/04/2018,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 28",201804
